Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
OTU1	2	793.778179200831	1969124	2.8391755313498e-12	0	3	-0.502335599680883	0
OTU2	39	9739.75958981635	13540036	2.6518960493547e-05	0.215924426450742	1	4.60930307428802	0
OTU3	47	173.436253680319	172100	0.168047085676134	0.640148011100833	0	1.45558227123217	0
OTU4	48	1248.88107992441	1591976	0.166993903693951	0.607269503546099	0	1.39599097141312	0.0798611111111109
OTU5	2	530.221820799175	1312840	1.94947753780743e-12	0	3	-0.502335599680883	0
OTU6	49	2573.87619292334	1836590	0.161749575007079	0.542517006802721	0	1.57476487087026	0
OTU7	45	1693.65802483851	3446990	0.156878232006863	0.615151515151515	0	1.21721707195599	0.0849382716049383
OTU9	47	111.885629546724	57100	0.166211411841372	0.627197039777983	0	1.45558227123217	0
OTU10	34	1410.20697358139	2131950	0.109396517443919	0.602495543672014	0	0.3233475746703	0.290657439446367
OTU11	5	6647	4266277	0.000827908207471264	0.3	4	0.380142960634853	0.48
OTU12	17	3253.72521149028	4045853	0.000122524120621241	0.411764705882353	1	1.35267476709449	0
OTU13	3	888.097547909607	62301	1.88793645105623e-07	0	3	-0.502335599680883	0.444444444444444
OTU14	1	0	0	5.05390338283284e-47	0	38	0	0
OTU15	5	999	609561	2.32685573659261e-05	0.4	4	2.0527719874282	0
OTU16	38	63.6862764556252	53844	0.144721029365018	0.724039829302987	0	0.919260572860758	0
OTU17	1	0	0	8.28031530243332e-43	0	23	0	0
OTU18	19	11507.4568743331	16423953	0.0597239387326265	0.637426900584795	0	-0.51093062279634	0.421052631578947
OTU19	4	1000	2461480	1.30712437822404e-13	0.166666666666667	3	0.533731574660938	0
OTU20	23	3190.45319455278	1694836	6.91677870218053e-06	0.205533596837945	1	2.09281756418393	0.0831758034026464
OTU21	25	1373.15378134607	4902819	0.0572213217945558	0.406666666666667	0	0.0253910755750717	0.1472
OTU22	1	0	0	6.02640652561673e-09	0	1	-1.01578218359171	0
OTU24	20	67.0546580865147	18019	0.0626226887199113	0.457894736842105	0	-0.153382823882065	0
OTU25	18	5.76297400685352	10617	0.0657876075178392	0.535947712418301	0	-0.272565423520157	0
OTU26	3	0	0	6.7073278233598e-07	1	4	0.380142960634853	0
OTU30	22	286.032944168154	28569	0.0707808846813882	0.510822510822511	0	-0.0937915240630198	0.0867768595041321
OTU31	1	0	0	5.05390338283284e-47	0	31	0	0
OTU32	2	0	0	3.06646448986026e-35	1	14	-1	0
OTU33	1	0	0	1.77807164355136e-08	0	4	-1.2924860661585	0
OTU34	44	1326.29190839318	2294805	0.152568435104293	0.608879492600423	0	1.21721707195599	0.0444214876033058
OTU35	3	335	820495	3.66508331475882e-15	0.333333333333333	3	0.0156979874900276	0
OTU37	2	1	1	1.65606306048666e-42	0	20	0	0
OTU38	3	552.299998014994	34540	0.00180926890302468	0	2	0.339144528788014	0
OTU39	8	127.130052823038	102271	6.6208739100811e-07	0.321428571428571	1	0.0204177323335018	0
OTU40	18	6213.63350554117	5765043	0.00012227514860387	0.444444444444444	1	1.50070332651238	0
OTU41	4	4815	3047445	2.32492774183401e-05	0.333333333333333	4	1.21645747403153	0
OTU42	34	3215.64232376108	1179114	0.116283728061871	0.577540106951872	0	0.442530174308392	0.207612456747405
OTU43	23	2246.24494350352	7450474	0.0249028609642981	0.292490118577075	0	0.0253910755750717	0
OTU45	1	0	0	8.28031530243332e-43	0	26	0	0
OTU46	6	40.0237844226552	578	0.010407358934696	0.533333333333333	2	0.339144528788014	0.5
OTU47	45	1146.93944564674	1390291	0.134674069388049	0.467676767676768	0	1.21721707195599	0.0859259259259259
OTU48	2	0	0	1.19322432274115e-05	1	0	-1.22602622062489	0
OTU50	18	9760.85329002956	10169436	1.42006475492359e-06	0.235294117647059	1	1.2046462076766	0.197530864197531
OTU51	44	1786.61040129226	2290365	0.148618100259872	0.572938689217759	0	1.21721707195599	0.0444214876033058
OTU54	9	299.961432450285	105933	0.0149134757725604	0.416666666666667	6	1.82574185835055	0.493827160493827
OTU55	23	183.358316367843	49798	0.0878622775717011	0.739130434782609	0	0.0253910755750717	0
OTU56	29	360.164881094553	271906	0.0933995732472852	0.504926108374384	0	0.382938874489346	0
OTU57	1	0	0	6.61282275766057e-09	0	5	-1.29099444873581	0
