Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
OTU1	10	2524.76722584258	33642	0.0424254944249152	0.333333333333333	1	0.856719908529899	0.42
OTU2	3	330.713596778051	1132	1.25491908080104e-07	0.333333333333333	6	0.8125	0
OTU3	26	5851.33541967868	82342	0.283221078315034	0.353846153846154	0	2.50176499589465	0.0739644970414202
OTU4	22	3478.74979460634	65022	0.256469719290895	0.41991341991342	0	2.02899050848148	0
OTU5	9	941.717574481711	11714	0.0032922946657493	0.5	1	1.48539207162378	0
OTU7	3	30.7899704879684	117	0.00016733633054853	0.666666666666667	6	0.8125	0
OTU8	6	810.100570664969	8336	0.0323082817257098	0.466666666666667	1	-0.086288336110925	0.444444444444444
OTU9	1	0	0	5.19393299633862e-06	0	7	-1.03653497862096	0
OTU10	1	0	0	0.000328672050935918	0	2	-1.00768683872874	0
OTU11	7	1546.08014715216	26217	3.37709339501085e-05	0.380952380952381	2	1.79721467113476	0
OTU12	14	2793.6877838996	23196	0.0465154186391072	0.252747252747253	0	0.137892558828839	0.459183673469388
OTU13	2	246.946921922984	4482	0.000228916479552244	0	1	-0.714960499204808	0
OTU14	1	0	0	2.32852327898827e-36	0	12	-1.13389341902768	0
OTU15	1	0	0	8.98862637346136e-30	0	8	-0.89323700126312	0
OTU16	1	0	0	5.54719958934789e-48	0	41	0	0
OTU18	2	0	0	8.63768604981771e-33	1	11	0	0
OTU19	10	605.298710563095	9548	0.00654621179690216	0.555555555555556	1	1.79972815317072	0
OTU20	2	968.497038833759	8652	2.33374739071107e-05	0	6	-1.3125	0.5
OTU23	2	319	2158	0.000108147728639866	0	3	-0.217072381587727	0
OTU24	2	688.436066191067	4030	4.82791295282763e-05	0	6	-0.25	0
OTU25	4	1795.97592511165	13402	0.00595374340004122	0	3	0.687395875027801	0.375
OTU26	1	0	0	0.000118485785750455	0	1	-1.02929658075175	0
OTU27	1	0	0	1.28945926649145e-38	0	20	-1.22474487139159	0
OTU28	1	0	0	5.81666035660005e-42	0	34	0	0
OTU29	1	0	0	4.1188164280404e-33	0	11	-1.15470053837925	0
OTU30	22	3736.94216751766	71081	0.272733601688878	0.463203463203463	0	2.02899050848148	0
OTU31	1	0	0	5.81666035660005e-42	0	32	0	0
OTU32	2	1	1	5.81666035660005e-42	0	32	0	0
OTU33	1	0	0	1.56005179860019e-33	0	11	-1.15470053837925	0
OTU34	3	319	1757	4.53976486628493e-05	0.333333333333333	3	0.687395875027801	0
OTU35	8	435.241893279684	8091	0.00596800625322843	0.714285714285714	1	1.17105599007684	0
OTU36	3	14	14	7.36632848035553e-33	0	11	1.15470053837925	0
OTU37	1	0	0	2.03618225979355e-09	0	16	-1.94511299592829	0
