Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
OTU1	4	843	12539	0.000124358970548122	0.166666666666667	4	0.792118034381339	0
OTU2	23	2645.03428777585	39795	0.207746074540433	0.300395256916996	2	0.796076387277537	0.499054820415879
OTU3	7	3460.00237956949	22736	0.00083547679466788	0.0952380952380952	1	-0.238141574270376	0.612244897959184
OTU4	5	1072.78859734433	13233	6.72806850587722e-05	0.2	1	0.0488495536964875	0
OTU5	4	3.5	4	1.90168181429724e-75	0.333333333333333	18	1.56892908110547	0
OTU6	2	156.9670995671	404	5.05280317453374e-06	0	1	-1.09911495817097	0.5
OTU7	2	0	0	1.91311149649183e-08	1	1	-0.812123830204104	0
OTU8	5	1439.93190998314	10047	2.077387172681e-05	0.1	1	-0.238141574270376	0.32
OTU9	9	4575.65095703194	59490	7.20948098786238e-05	0.25	1	1.19681406556394	0
OTU10	5	1267.60238095238	18390	1.78073562548263e-06	0.2	1	0.0488495536964875	0
OTU11	1	0	0	5.67387260660573e-95	0	20	-0.577350269189626	0
OTU12	10	174.843435275346	4253	0.076996191987319	0.622222222222222	2	0.41104597774461	0
OTU13	22	4891.76243165016	57134	0.175830260699717	0.25974025974026	0	1.88244598853028	0.297520661157025
OTU14	3	27.8649910543234	91	0.00171481958448178	0.333333333333333	2	-0.936560455620631	0
OTU15	1	0	0	2.6344841485757e-119	0	40	0	0
OTU16	2	0	0	8.09661206225681e-06	1	16	0	0
OTU17	7	6409.25943402743	93443	0.00862514971974863	0.238095238095238	4	0.792118034381339	0.571428571428571
OTU19	1	0	0	8.74148634645973e-06	0	4	-0.990147542976674	0
OTU20	15	1512.5229097956	21474	0.12034119629586	0.276190476190476	2	0.0260155682116842	0.497777777777778
OTU21	3	1679	12171	0.00126154172141693	0	14	0.816496580927727	0.444444444444444
OTU22	8	1106.75455838434	13342	8.44250367317744e-06	0.5	1	0.909822937597079	0
OTU23	9	7119.224164988	130192	0.00136514550230582	0.25	1	-0.238141574270376	0.493827160493827
OTU24	6	181.159364746742	4053	1.60707814719272e-06	0.466666666666667	1	0.335840681663351	0
OTU25	1	0	0	2.6344841485757e-119	0	44	0	0
OTU26	3	2087.69150060998	19742	1.23556869106343e-07	0	8	0	0.444444444444444
OTU27	2	2502	13182	0.00149165353455387	0	0	-1.19030542600275	0.5
OTU28	2	1446.19759306888	8111	1.16960291106224e-08	0	8	0	0
OTU29	4	946.926062475257	9530	0.0115123216814509	0	4	-0.39605901719067	0.5
OTU30	8	1208.43142771478	15733	8.77388327666723e-06	0.285714285714286	1	0.909822937597079	0
OTU31	3	6.84090909090909	14	5.02580551445199e-05	0.333333333333333	7	0.696310623822791	0
OTU32	2	422	4869	4.72306313538329e-05	0	4	-0.39605901719067	0
OTU33	2	422	2625	3.44089746977767e-06	0	4	-0.39605901719067	0
OTU34	11	1409.45095959307	18872	1.57291144090295e-05	0.345454545454545	1	1.77079632149767	0
OTU35	5	2552.03450657416	32160	0.000520568694880031	0.3	4	0.792118034381339	0.32
OTU36	8	980.201404279994	16444	0.00123111583348724	0.321428571428571	4	2.57438361173935	0.21875
OTU37	2	842	7756	3.97519372001745e-10	0	7	-0.522232967867093	0
OTU38	3	0.5	1	1.35494573509317e-77	0.666666666666667	19	1	0
OTU39	7	174.320138830406	2058	0.0508022819604652	0.428571428571429	2	-0.551530046087705	0.408163265306122
OTU40	6	3259.15619176756	28861	0.00732736055534154	0.333333333333333	3	0.62858726619262	0.5
OTU42	12	996.536592645482	10061	0.0474421017296372	0.439393939393939	2	0.41104597774461	0.277777777777778
OTU43	11	2246.22886887242	40286	3.8309830891289e-05	0.290909090909091	1	1.77079632149767	0
OTU44	2	842	5658	1.10502033050065e-05	0	6	-0.324442842261525	0
OTU46	3	3446.72484123973	37269	0.0060252033743353	0	3	-0.907959384500451	0.444444444444444
OTU48	5	559.172320481474	4873	1.43269738716486e-05	0.3	1	-0.238141574270376	0.32
OTU49	8	4841.44025509455	99250	0.00671119070086134	0.357142857142857	4	1.38620656016734	0.53125
OTU50	17	1034.32091485494	15023	0.137105596034496	0.389705882352941	0	1.15944565569898	0.290657439446367
OTU51	3	196.030550457112	3704	1.2348994725056e-05	0.666666666666667	1	-0.52513270223724	0
OTU52	5	1194.0917649753	11209	3.44027348532834e-05	0.1	1	-0.238141574270376	0.32
OTU53	3	452.193724572942	3026	9.3434238570596e-06	0	4	-0.39605901719067	0.444444444444444
OTU54	2	422	2778	2.48887383516676e-05	0	11	-0.577350269189626	0
OTU55	1	0	0	2.6344841485757e-119	0	47	0	0
OTU58	6	1732.88855387244	30042	0.000121691341104871	0.466666666666667	1	0.335840681663351	0
OTU59	5	269.550634110397	2680	0.00480365672724825	0.2	2	-0.551530046087705	0
OTU60	3	0.5	1	1.70954791375497e-75	0.666666666666667	18	0.588348405414552	0
