Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
OTU1	1	0	0	9.97282871851577e-192	0	68	0	0
OTU2	18	721.16574082142	11495	0.0783712756883829	0.444444444444444	1	1.58295937050311	0
OTU3	9	419.29740827523	4253	0.0182322712143019	0.472222222222222	0	-0.156008411114992	0
OTU4	20	1754.23484342301	33709	0.066074304453289	0.305263157894737	0	1.56008411114992	0
OTU5	1	0	0	0.000341851392882505	0	3	-0.95044501414183	0
OTU6	14	316.905188290571	4703	0.0321629422355029	0.450549450549451	0	0.624033644459968	0
OTU7	8	269.367778129248	3750	0.043799481790357	0.428571428571429	0	-0.312016822229984	0
OTU8	2	963	10068	0.000367030878604392	0	16	-1	0.5
OTU9	13	1802.14121877184	22766	0.0392164862952902	0.397435897435897	0	0.156008411114992	0.272189349112426
OTU10	10	1454.63704001543	14037	0.0228310302982243	0.377777777777778	0	-0.156008411114992	0.18
OTU11	2	2	2	7.5573260173001e-159	0	17	1	0
OTU12	23	1358.95440533875	24209	0.12606885240839	0.450592885375494	1	2.37443905575466	0
OTU13	10	647.354478699812	6871	0.0477503336600253	0.533333333333333	1	0.316591874100622	0
OTU14	2	1	1	6.02820506620399e-168	0	30	0	0
OTU15	7	2565.66147360074	18448	0.00630314848731665	0.285714285714286	0	-0.936050466689952	0.612244897959184
OTU17	5	444.461959584969	4529	0.0081322686509015	0.3	1	-0.474887811150932	0
OTU18	19	4965.67728042535	54800	0.0932035610675616	0.274853801169591	0	1.09205887780494	0.188365650969529
OTU20	19	974.361934810858	19207	0.103743383761364	0.467836257309941	1	1.74125530755342	0
OTU21	3	418.845587824264	2329	0.0128475451149384	0	12	0.816496580927727	0.444444444444444
OTU23	1	0	0	2.15921951445977e-09	0	2	-1.27097781860449	0
OTU24	3	73.7044219495506	553	0.0037011473280721	0.333333333333333	0	-1.09205887780494	0
OTU25	14	1637.68114313001	19974	0.0393842703496136	0.318681318681319	0	0.624033644459968	0
OTU26	7	693.514324270887	5995	0.00638863032669724	0.380952380952381	0	-0.468025233344976	0
OTU27	5	2392.29684998405	23399	0.00269007970064399	0.1	0	-0.936050466689952	0.32
OTU28	1	0	0	9.97282871851577e-192	0	56	0	0
OTU29	1	0	0	4.28514756877744e-06	0	4	-0.854704323447284	0
